timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2018/07/02 12:21:03,312,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,1,1,43,0,3
2018/07/02 12:21:04,332,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,1,1,37,0,2
2018/07/02 12:21:04,50,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,1,1,22,0,1
2018/07/02 12:21:04,122,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,1,1,1,0,5
2018/07/02 12:21:04,384,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,1,1,21,0,1
2018/07/02 12:21:05,374,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,1,1,50,0,2
2018/07/02 12:21:05,86,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,1,1,47,0,1
2018/07/02 12:21:05,89,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,1,1,43,0,3
2018/07/02 12:21:05,428,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,1,1,44,0,1
2018/07/02 12:21:05,86,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,1,1,21,0,3
2018/07/02 12:21:06,288,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,1,1,14,0,4
2018/07/02 12:21:06,438,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,2,2,5,0,5
2018/07/02 12:21:06,311,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,2,2,4,0,3
2018/07/02 12:21:06,486,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,2,2,40,0,5
2018/07/02 12:21:07,453,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,2,2,39,0,3
2018/07/02 12:21:07,445,Sampler_2,200,OK,Thread Group 1-2,text,true,,114,0,2,2,16,0,3
2018/07/02 12:21:07,144,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,2,2,47,0,5
2018/07/02 12:21:07,257,Sampler_3,200,OK,Thread Group 1-2,text,true,,114,0,2,2,12,0,4
2018/07/02 12:21:07,264,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,2,2,17,0,1
2018/07/02 12:21:07,273,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,2,2,39,0,2
2018/07/02 12:21:07,375,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,2,2,30,0,3
2018/07/02 12:21:08,234,Sampler_2,200,OK,Thread Group 1-2,text,true,,114,0,2,2,33,0,2
2018/07/02 12:21:08,433,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,2,2,45,0,2
2018/07/02 12:21:08,114,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,2,2,11,0,3
2018/07/02 12:21:08,478,Sampler_3,200,OK,Thread Group 1-2,text,true,,114,0,2,2,24,0,4
2018/07/02 12:21:08,71,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,2,2,35,0,2
2018/07/02 12:21:09,133,Sampler_2,200,OK,Thread Group 1-2,text,true,,114,0,2,2,30,0,1
2018/07/02 12:21:09,79,Sampler_3,200,OK,Thread Group 1-2,text,true,,114,0,2,2,15,0,2
2018/07/02 12:21:08,383,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,2,2,33,0,3
2018/07/02 12:21:09,64,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,2,2,11,0,2
2018/07/02 12:21:09,429,Sampler_2,200,OK,Thread Group 1-2,text,true,,114,0,2,2,45,0,2
2018/07/02 12:21:09,474,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,2,2,2,0,1
2018/07/02 12:21:09,365,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,3,3,7,0,2
2018/07/02 12:21:09,354,Sampler_1,200,OK,Thread Group 1-3,text,true,,114,0,3,3,30,0,2
2018/07/02 12:21:10,61,Sampler_2,200,OK,Thread Group 1-3,text,true,,114,0,3,3,23,0,4
2018/07/02 12:21:09,472,Sampler_3,200,OK,Thread Group 1-2,text,true,,114,0,3,3,46,0,3
2018/07/02 12:21:10,161,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,3,3,20,0,5
2018/07/02 12:21:10,253,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,3,3,3,0,5
2018/07/02 12:21:10,299,Sampler_3,200,OK,Thread Group 1-3,text,true,,114,0,3,3,45,0,1
2018/07/02 12:21:10,166,Sampler_1,200,OK,Thread Group 1-3,text,true,,114,0,3,3,48,0,5
2018/07/02 12:21:10,221,Sampler_2,200,OK,Thread Group 1-2,text,true,,114,0,3,3,38,0,5
2018/07/02 12:21:10,428,Sampler_3,200,OK,Thread Group 1-1,text,true,,114,0,3,3,13,0,5
2018/07/02 12:21:10,272,Sampler_2,200,OK,Thread Group 1-3,text,true,,114,0,3,3,34,0,3
2018/07/02 12:21:10,256,Sampler_1,200,OK,Thread Group 1-1,text,true,,114,0,3,3,13,0,2
2018/07/02 12:21:10,352,Sampler_3,200,OK,Thread Group 1-2,text,true,,114,0,3,3,39,0,2
2018/07/02 12:21:11,108,Sampler_1,200,OK,Thread Group 1-2,text,true,,114,0,3,3,15,0,3
2018/07/02 12:21:10,293,Sampler_2,200,OK,Thread Group 1-1,text,true,,114,0,3,3,26,0,1
2018/07/02 12:21:10,352,Sampler_3,200,OK,Thread Group 1-3,text,true,,114,0,3,3,9,0,5
